
===== logging start 2025-11-23 14:30:16 =====
--- Best Epoch: 3467, Loss: 2.5355e-05, IC: 2.5355e-05, Res: 7.4229e-12 ---
--- Best Epoch: 3486, Loss: 2.4490e-05, IC: 2.4490e-05, Res: 9.5548e-14 ---
--- Best Epoch: 3493, Loss: 2.4126e-05, IC: 2.4124e-05, Res: 1.8933e-09 ---
--- Best Epoch: 3556, Loss: 2.3901e-05, IC: 2.3901e-05, Res: 1.3777e-10 ---
--- Best Epoch: 3558, Loss: 2.1445e-05, IC: 2.1371e-05, Res: 7.3692e-08 ---
--- Best Epoch: 3660, Loss: 2.1299e-05, IC: 2.1288e-05, Res: 1.1275e-08 ---
--- Best Epoch: 3675, Loss: 2.1264e-05, IC: 2.1258e-05, Res: 6.0669e-09 ---
--- Best Epoch: 3678, Loss: 2.0511e-05, IC: 2.0511e-05, Res: 8.5744e-13 ---
--- Best Epoch: 3702, Loss: 1.9917e-05, IC: 1.9917e-05, Res: 1.8609e-14 ---
--- Best Epoch: 3821, Loss: 1.9392e-05, IC: 1.9392e-05, Res: 2.4576e-16 ---
--- Best Epoch: 3826, Loss: 1.9113e-05, IC: 1.9111e-05, Res: 2.1979e-09 ---
--- Best Epoch: 3834, Loss: 1.7533e-05, IC: 1.7519e-05, Res: 1.4025e-08 ---
--- Best Epoch: 3996, Loss: 1.6058e-05, IC: 1.6058e-05, Res: 1.6809e-12 ---
[info] Training epoch: 4000, LR: 8.15e-04
--- Best Epoch: 4067, Loss: 1.6057e-05, IC: 1.6057e-05, Res: 4.0264e-11 ---
--- Best Epoch: 4080, Loss: 1.6039e-05, IC: 1.6009e-05, Res: 2.9551e-08 ---
--- Best Epoch: 4082, Loss: 1.5819e-05, IC: 1.5819e-05, Res: 1.2987e-13 ---
--- Best Epoch: 4088, Loss: 1.4948e-05, IC: 1.4948e-05, Res: 1.7294e-10 ---
--- Best Epoch: 4254, Loss: 1.4771e-05, IC: 1.4771e-05, Res: 4.7407e-10 ---
--- Best Epoch: 4285, Loss: 1.4605e-05, IC: 1.4605e-05, Res: 3.9115e-11 ---
--- Best Epoch: 4286, Loss: 1.4524e-05, IC: 1.4524e-05, Res: 1.4264e-11 ---
--- Best Epoch: 4287, Loss: 1.4019e-05, IC: 1.4018e-05, Res: 1.1653e-09 ---
--- Best Epoch: 4298, Loss: 1.3683e-05, IC: 1.3683e-05, Res: 1.3238e-10 ---
--- Best Epoch: 4353, Loss: 1.3271e-05, IC: 1.3271e-05, Res: 5.4877e-11 ---
--- Best Epoch: 4480, Loss: 1.2887e-05, IC: 1.2887e-05, Res: 3.1944e-10 ---
--- Best Epoch: 4486, Loss: 1.2714e-05, IC: 1.2714e-05, Res: 7.8134e-12 ---
--- Best Epoch: 4507, Loss: 1.2576e-05, IC: 1.2567e-05, Res: 8.1812e-09 ---
--- Best Epoch: 4555, Loss: 1.1786e-05, IC: 1.1758e-05, Res: 2.7831e-08 ---
--- Best Epoch: 4664, Loss: 1.1565e-05, IC: 1.1565e-05, Res: 1.9651e-10 ---
--- Best Epoch: 4672, Loss: 1.1339e-05, IC: 1.1321e-05, Res: 1.7718e-08 ---
--- Best Epoch: 4712, Loss: 1.1313e-05, IC: 1.1313e-05, Res: 1.4431e-13 ---
--- Best Epoch: 4724, Loss: 1.1041e-05, IC: 1.1041e-05, Res: 2.0054e-11 ---
[info] Training epoch: 5000, LR: 7.74e-04
--- Best Epoch: 5284, Loss: 1.0924e-05, IC: 1.0861e-05, Res: 6.3237e-08 ---
--- Best Epoch: 5311, Loss: 1.0860e-05, IC: 1.0860e-05, Res: 7.5495e-12 ---
--- Best Epoch: 5314, Loss: 1.0810e-05, IC: 1.0806e-05, Res: 3.9190e-09 ---
--- Best Epoch: 5325, Loss: 1.0793e-05, IC: 1.0790e-05, Res: 3.7756e-09 ---
--- Best Epoch: 5334, Loss: 1.0773e-05, IC: 1.0773e-05, Res: 7.0939e-10 ---
--- Best Epoch: 5400, Loss: 1.0692e-05, IC: 1.0692e-05, Res: 7.5034e-13 ---
--- Best Epoch: 5409, Loss: 1.0523e-05, IC: 1.0503e-05, Res: 2.0138e-08 ---
--- Best Epoch: 5460, Loss: 1.0426e-05, IC: 1.0366e-05, Res: 5.9961e-08 ---
--- Best Epoch: 5469, Loss: 1.0086e-05, IC: 1.0085e-05, Res: 1.5758e-10 ---
[info] Training epoch: 6000, LR: 7.35e-04
--- Best Epoch: 6816, Loss: 9.9877e-06, IC: 9.9876e-06, Res: 1.2361e-10 ---
--- Best Epoch: 6840, Loss: 9.9378e-06, IC: 9.9378e-06, Res: 1.5352e-11 ---
[info] Training epoch: 7000, LR: 6.98e-04
--- Best Epoch: 7544, Loss: 9.9026e-06, IC: 9.9006e-06, Res: 1.9653e-09 ---
--- Best Epoch: 7547, Loss: 9.7364e-06, IC: 9.7363e-06, Res: 3.9193e-11 ---
--- Best Epoch: 7558, Loss: 9.6407e-06, IC: 9.6114e-06, Res: 2.9365e-08 ---
--- Best Epoch: 7562, Loss: 9.6140e-06, IC: 9.6140e-06, Res: 2.4316e-12 ---
--- Best Epoch: 7586, Loss: 9.4880e-06, IC: 9.4880e-06, Res: 6.0578e-11 ---
--- Best Epoch: 7840, Loss: 9.4215e-06, IC: 9.4069e-06, Res: 1.4632e-08 ---
--- Best Epoch: 7842, Loss: 9.2894e-06, IC: 9.2694e-06, Res: 2.0073e-08 ---
--- Best Epoch: 7920, Loss: 9.1721e-06, IC: 9.1704e-06, Res: 1.7767e-09 ---
--- Best Epoch: 7936, Loss: 9.0525e-06, IC: 9.0523e-06, Res: 2.1994e-10 ---
[info] Training epoch: 8000, LR: 6.63e-04
--- Best Epoch: 8005, Loss: 8.9392e-06, IC: 8.9237e-06, Res: 1.5488e-08 ---
--- Best Epoch: 8006, Loss: 8.6670e-06, IC: 8.6590e-06, Res: 8.0080e-09 ---
--- Best Epoch: 8818, Loss: 8.5794e-06, IC: 8.5707e-06, Res: 8.7239e-09 ---
--- Best Epoch: 8833, Loss: 8.5737e-06, IC: 8.5706e-06, Res: 3.1240e-09 ---
--- Best Epoch: 8839, Loss: 8.4006e-06, IC: 8.3985e-06, Res: 2.0851e-09 ---
[info] Training epoch: 9000, LR: 6.30e-04
--- Best Epoch: 9028, Loss: 8.3437e-06, IC: 8.3387e-06, Res: 4.9367e-09 ---
[info] Training epoch: 10000, LR: 5.99e-04
[info] Training epoch: 11000, LR: 5.69e-04
[info] Training epoch: 12000, LR: 5.40e-04
[info] Training epoch: 13000, LR: 5.13e-04
--- Best Epoch: 13834, Loss: 8.1555e-06, IC: 8.1029e-06, Res: 5.2570e-08 ---
--- Best Epoch: 13840, Loss: 8.1327e-06, IC: 8.1327e-06, Res: 2.1720e-13 ---
--- Best Epoch: 13842, Loss: 7.8093e-06, IC: 7.8093e-06, Res: 1.1125e-12 ---
--- Best Epoch: 13881, Loss: 7.7522e-06, IC: 7.7522e-06, Res: 2.0089e-11 ---
