x1,x2,pdf,E(x1),E(x1^2),E(x1-E(x1)),,,x1,x2,pdf_nn,E(x1),E(x1^2),,,TESTING,x,P(x),E(x),E(x^2),E(x-mux)^2,
7102.041016,-5.321473,0,0,0,0,,,7102.041016,-5.321473,0,0,0,0,,,,,,,,
7142.857422,-5.321473,0,0,0,0,,,7142.857422,-5.321473,0,0,0,0,,,,,,,,
7183.67334,-5.321473,0,0,0,0,,,7183.67334,-5.321473,0,0,0,0,,,,,,,,
7224.489746,-5.321473,0,0,0,0,,,7224.489746,-5.321473,0,0,0,0,,,,,,,,
7265.306152,-5.321473,0,0,0,0,,,7265.306152,-5.321473,0,0,0,0,,,,,,,,
7306.122559,-5.321473,0,0,0,0,,,7306.122559,-5.321473,0,0,0,0,,,,,,,,
7346.938965,-5.321473,0,0,0,0,,,7346.938965,-5.321473,0,0,0,0,,,,,,,,
7387.754883,-5.321473,0,0,0,0,,,7387.754883,-5.321473,0,0,0,0,,,,,,,,
7428.571289,-5.321473,0,0,0,0,,,7428.571289,-5.321473,0,0,0,0,,,,,,,,
7469.387695,-5.321473,0,0,0,0,,,7469.387695,-5.321473,0,0,0,0,,,,,,,,
7510.204102,-5.321473,0,0,0,0,,,7510.204102,-5.321473,0,0,0,0,,,,,,,,
7551.020508,-5.321473,0,0,0,0,,,7551.020508,-5.321473,0,0,0,0,,,,,,,,
7591.836914,-5.321473,0,0,0,0,,,7591.836914,-5.321473,0,0,0,0,,,,,,,,
7632.65332,-5.321473,0,0,0,0,,,7632.65332,-5.321473,0,0,0,0,,,,,,,,
7673.469238,-5.321473,0,0,0,0,,,7673.469238,-5.321473,0,0,0,0,,,,,,,,
7714.285645,-5.321473,0,0,0,0,,,7714.285645,-5.321473,0,0,0,0,,,,,,,,
7755.102051,-5.321473,0,0,0,0,,,7755.102051,-5.321473,0,0,0,0,,,,,,,,
7795.918457,-5.321473,0,0,0,0,,,7795.918457,-5.321473,0,0,0,0,,,,,,,,
7836.734863,-5.321473,0,0,0,0,,,7836.734863,-5.321473,0,0,0,0,,,,,,,,
7877.550781,-5.321473,0,0,0,0,,,7877.550781,-5.321473,0,0,0,0,,,,,,,,
7918.367188,-5.321473,0,0,0,0,,,7918.367188,-5.321473,0,0,0,0,,,,,,,,
7959.183594,-5.321473,0,0,0,0,,,7959.183594,-5.321473,0,0,0,0,,,,,,,,
8000,-5.321473,0,0,0,0,,,8000,-5.321473,0,0,0,0,,,,,,,,
8040.816406,-5.321473,0,0,0,0,,,8040.816406,-5.321473,0,0,0,0,,,,,,,,
8081.632812,-5.321473,0,0,0,0,,,8081.632812,-5.321473,0,0,0,0,,,,,,,,
8122.449219,-5.321473,0,0,0,0,,,8122.449219,-5.321473,0,0,0,0,,,,,,,,
