
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 155, Loss: 6.0644e-06, IC: 6.0644e-06, Res: 4.9943e-19 ---
--- Best Epoch: 164, Loss: 5.7516e-06, IC: 5.7516e-06, Res: 1.1240e-14 ---
--- Best Epoch: 166, Loss: 5.6176e-06, IC: 5.6176e-06, Res: 1.2836e-24 ---
--- Best Epoch: 170, Loss: 5.6091e-06, IC: 5.6091e-06, Res: 1.5025e-25 ---
--- Best Epoch: 176, Loss: 5.5781e-06, IC: 5.5781e-06, Res: 1.1462e-12 ---
--- Best Epoch: 177, Loss: 5.1379e-06, IC: 5.1379e-06, Res: 6.6129e-29 ---
--- Best Epoch: 178, Loss: 5.0642e-06, IC: 5.0642e-06, Res: 1.4058e-27 ---
--- Best Epoch: 180, Loss: 5.0260e-06, IC: 5.0260e-06, Res: 6.5313e-33 ---
--- Best Epoch: 181, Loss: 4.8571e-06, IC: 4.8571e-06, Res: 7.8849e-15 ---
--- Best Epoch: 185, Loss: 4.7588e-06, IC: 4.7588e-06, Res: 2.6860e-11 ---
--- Best Epoch: 191, Loss: 4.6921e-06, IC: 4.6921e-06, Res: 1.4181e-15 ---
--- Best Epoch: 197, Loss: 4.6302e-06, IC: 4.6302e-06, Res: 3.2579e-11 ---
--- Best Epoch: 198, Loss: 4.4578e-06, IC: 4.4578e-06, Res: 7.4356e-20 ---
--- Best Epoch: 200, Loss: 4.3017e-06, IC: 4.3017e-06, Res: 1.0970e-13 ---
--- Best Epoch: 203, Loss: 4.0047e-06, IC: 4.0047e-06, Res: 1.9930e-19 ---
--- Best Epoch: 210, Loss: 3.8878e-06, IC: 3.8878e-06, Res: 1.8393e-16 ---
--- Best Epoch: 215, Loss: 3.7159e-06, IC: 3.7159e-06, Res: 7.5638e-15 ---
--- Best Epoch: 219, Loss: 3.6590e-06, IC: 3.6590e-06, Res: 1.4834e-28 ---
--- Best Epoch: 223, Loss: 3.5538e-06, IC: 3.5538e-06, Res: 1.6896e-12 ---
--- Best Epoch: 232, Loss: 3.4569e-06, IC: 3.4569e-06, Res: 6.2887e-17 ---
--- Best Epoch: 236, Loss: 3.3733e-06, IC: 3.3733e-06, Res: 9.3356e-36 ---
--- Best Epoch: 240, Loss: 3.0681e-06, IC: 3.0681e-06, Res: 7.4028e-17 ---
--- Best Epoch: 246, Loss: 2.9884e-06, IC: 2.9884e-06, Res: 1.5671e-24 ---
--- Best Epoch: 257, Loss: 2.9043e-06, IC: 2.9043e-06, Res: 3.4229e-18 ---
--- Best Epoch: 262, Loss: 2.8690e-06, IC: 2.8690e-06, Res: 5.8785e-14 ---
--- Best Epoch: 271, Loss: 2.5889e-06, IC: 2.5889e-06, Res: 5.9696e-16 ---
--- Best Epoch: 287, Loss: 2.4032e-06, IC: 2.4032e-06, Res: 1.7043e-16 ---
--- Best Epoch: 288, Loss: 2.3655e-06, IC: 2.3655e-06, Res: 1.1947e-22 ---
--- Best Epoch: 291, Loss: 2.2918e-06, IC: 2.2918e-06, Res: 6.6268e-18 ---
--- Best Epoch: 299, Loss: 2.1933e-06, IC: 2.1933e-06, Res: 1.4050e-15 ---
--- Best Epoch: 319, Loss: 2.0535e-06, IC: 2.0535e-06, Res: 1.0120e-23 ---
--- Best Epoch: 321, Loss: 2.0186e-06, IC: 2.0186e-06, Res: 8.7561e-21 ---
--- Best Epoch: 335, Loss: 1.9802e-06, IC: 1.9802e-06, Res: 8.6129e-23 ---
--- Best Epoch: 337, Loss: 1.8911e-06, IC: 1.8910e-06, Res: 6.0102e-11 ---
