x1,x2,pdf
7183.673340,-2.435073,0.000000
7224.489746,-2.435073,0.000000
7265.306152,-2.435073,0.000000
7306.122559,-2.435073,0.000000
7346.938965,-2.435073,0.000000
7387.754883,-2.435073,0.000000
7428.571289,-2.435073,0.000000
7469.387695,-2.435073,0.000000
7510.204102,-2.435073,0.000000
7551.020508,-2.435073,0.000000
7591.836914,-2.435073,0.000000
7632.653320,-2.435073,0.000000
7673.469238,-2.435073,0.000000
7714.285645,-2.435073,0.000000
7755.102051,-2.435073,0.000000
7795.918457,-2.435073,0.000000
7836.734863,-2.435073,0.000000
7877.550781,-2.435073,0.000000
7918.367188,-2.435073,0.000000
7959.183594,-2.435073,0.000000
8000.000000,-2.435073,0.000000
8040.816406,-2.435073,0.000000
8081.632812,-2.435073,0.000000
8122.449219,-2.435073,0.000000
8163.265137,-2.435073,0.000000
8204.082031,-2.435073,0.000000
8244.898438,-2.435073,0.000000
8285.713867,-2.435073,0.000000
8326.530273,-2.435073,0.000000
8367.346680,-2.435073,0.000000
8408.163086,-2.435073,0.000000
8448.979492,-2.435073,0.000000
8489.795898,-2.435073,0.000000
8530.612305,-2.435073,0.000000
8571.428711,-2.435073,0.000000
8612.245117,-2.435073,0.000000
8653.061523,-2.435073,0.000000
8693.877930,-2.435073,0.000000
8734.693359,-2.435073,0.000000
8775.509766,-2.435073,0.000000
8816.326172,-2.435073,0.000000
8857.142578,-2.435073,0.000000
8897.958984,-2.435073,0.000000
8938.775391,-2.435073,0.000000
8979.591797,-2.435073,0.000000
7020.408203,-1.735416,0.000000
7061.224609,-1.735416,0.000000
7102.041016,-1.735416,0.000000
7142.857422,-1.735416,0.000000
7183.673340,-1.735416,0.000000
7224.489746,-1.735416,0.000000
7265.306152,-1.735416,0.000000
7306.122559,-1.735416,0.000000
7346.938965,-1.735416,0.000000
7387.754883,-1.735416,0.000000
7428.571289,-1.735416,0.000000
7469.387695,-1.735416,0.000000
7510.204102,-1.735416,0.000000
7551.020508,-1.735416,0.000000
7591.836914,-1.735416,0.000000
7632.653320,-1.735416,0.000000
7673.469238,-1.735416,0.000000
7714.285645,-1.735416,0.000000
7755.102051,-1.735416,0.000000
7795.918457,-1.735416,0.000000
7836.734863,-1.735416,0.000000
7877.550781,-1.735416,0.000000
7918.367188,-1.735416,0.000000
7959.183594,-1.735416,0.000000
8000.000000,-1.735416,0.000000
8040.816406,-1.735416,0.000000
8081.632812,-1.735416,0.000000
8122.449219,-1.735416,0.000000
8163.265137,-1.735416,0.000000
8204.082031,-1.735416,0.000000
8244.898438,-1.735416,0.000000
8285.713867,-1.735416,0.000000
8326.530273,-1.735416,0.000000
8367.346680,-1.735416,0.000000
8408.163086,-1.735416,0.000000
8448.979492,-1.735416,0.000000
8489.795898,-1.735416,0.000000
8530.612305,-1.735416,0.000000
8571.428711,-1.735416,0.000000
8612.245117,-1.735416,0.000000
8653.061523,-1.735416,0.000000
8693.877930,-1.735416,0.000000
8734.693359,-1.735416,0.000000
8775.509766,-1.735416,0.000000
8816.326172,-1.735416,0.000000
8857.142578,-1.735416,0.000000
8897.958984,-1.735416,0.000000
8938.775391,-1.735416,0.000000
8979.591797,-1.735416,0.000000
7020.408203,-1.035759,0.000000
7061.224609,-1.035759,0.000000
7102.041016,-1.035759,0.000000
7142.857422,-1.035759,0.000000
7183.673340,-1.035759,0.000000
7224.489746,-1.035759,0.000000
7265.306152,-1.035759,0.000001
7306.122559,-1.035759,0.000001
7346.938965,-1.035759,0.000002
7387.754883,-1.035759,0.000003
7428.571289,-1.035759,0.000004
7469.387695,-1.035759,0.000006
7510.204102,-1.035759,0.000008
7551.020508,-1.035759,0.000011
7591.836914,-1.035759,0.000015
7632.653320,-1.035759,0.000019
7673.469238,-1.035759,0.000024
7714.285645,-1.035759,0.000030
7755.102051,-1.035759,0.000035
7795.918457,-1.035759,0.000040
7836.734863,-1.035759,0.000045
7877.550781,-1.035759,0.000050
7918.367188,-1.035759,0.000053
7959.183594,-1.035759,0.000056
8000.000000,-1.035759,0.000056
8040.816406,-1.035759,0.000055
8081.632812,-1.035759,0.000053
8122.449219,-1.035759,0.000050
8163.265137,-1.035759,0.000045
8204.082031,-1.035759,0.000040
8244.898438,-1.035759,0.000036
8285.713867,-1.035759,0.000030
8326.530273,-1.035759,0.000025
8367.346680,-1.035759,0.000019
8408.163086,-1.035759,0.000015
8448.979492,-1.035759,0.000012
8489.795898,-1.035759,0.000008
8530.612305,-1.035759,0.000006
8571.428711,-1.035759,0.000004
8612.245117,-1.035759,0.000003
8653.061523,-1.035759,0.000002
8693.877930,-1.035759,0.000001
8734.693359,-1.035759,0.000001
8775.509766,-1.035759,0.000001
8816.326172,-1.035759,0.000000
8857.142578,-1.035759,0.000000
8897.958984,-1.035759,0.000000
8938.775391,-1.035759,0.000000
8979.591797,-1.035759,0.000000
7020.408203,-0.336102,0.000001
7061.224609,-0.336102,0.000001
7102.041016,-0.336102,0.000002
7142.857422,-0.336102,0.000003
7183.673340,-0.336102,0.000006
7224.489746,-0.336102,0.000009
7265.306152,-0.336102,0.000015
7306.122559,-0.336102,0.000024
7346.938965,-0.336102,0.000037
7387.754883,-0.336102,0.000057
7428.571289,-0.336102,0.000083
7469.387695,-0.336102,0.000118
7510.204102,-0.336102,0.000165
7551.020508,-0.336102,0.000225
7591.836914,-0.336102,0.000296
7632.653320,-0.336102,0.000379
7673.469238,-0.336102,0.000479
7714.285645,-0.336102,0.000582
7755.102051,-0.336102,0.000691
7795.918457,-0.336102,0.000805
7836.734863,-0.336102,0.000901
7877.550781,-0.336102,0.000994
7918.367188,-0.336102,0.001063
7959.183594,-0.336102,0.001104
8000.000000,-0.336102,0.001117
8040.816406,-0.336102,0.001104
8081.632812,-0.336102,0.001063
8122.449219,-0.336102,0.000992
8163.265137,-0.336102,0.000905
